MakeCode,BodyStyleDescription,VFactsClass,FuelTypeDescription,EngineTypeDescription,GearNum,EngineSize,Cylinders,Power,PowerRPMTo,Torque,TorqueRPMTo,DoorNum,WheelBase,Height,Length,Width,KerbWeight,SeatCapacity,YearGroup,Sold_Date,KM,AverageKM,GoodKM,SaleCategory,Branch,BuildCountryOriginDescription,NewPrice,Sold_Amount,ColorGroup,Aging,Age_Comp_Months_Fixed,KM per Year,RelativePower,RelativeTorque
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3565,6,180.0,6000.0,330.0,2600.0,4,2915.0,1476.0,4894.0,1899.0,1690.0,5.0,2008,2015-11-03 00:00:00.000,227878.0,230.0,140.0,Auction,Perth (WA),AUSTRALIA,34790.0,2000.0,white,7,84.0,32554.0,0.10650887573964497,0.1952662721893491
HOLD,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,130.0,4800.0,295.0,3200.0,5,2822.0,1478.0,4903.0,1794.0,1380.0,5.0,1993,2000-10-18 00:00:00.000,153091.0,600.0,360.0,Auction,Belmore (NSW),AUSTRALIA,27978.0,6800.0,red,7,84.0,21870.14285714286,0.09420289855072464,0.213768115942029
TOYO,Wagon,SUV,Petrol - Unleaded ULP,Piston,5.0,2362,4,125.0,6000.0,224.0,4000.0,5,2660.0,1695.0,4625.0,1815.0,1545.0,5.0,2012,2014-02-05 00:00:00.000,27374.0,130.0,80.0,Dealer Only Auction,Sunshine (VIC),JAPAN,31990.0,22900.0,white,2,16.0,20530.5,0.08090614886731391,0.14498381877022654
HOLD,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,3565,6,172.0,6000.0,320.0,2800.0,5,2938.0,1527.0,5033.0,1847.0,1576.0,5.0,2007,2011-01-10 00:00:00.000,99452.0,250.0,150.0,Auction,Belmore (NSW),AUSTRALIA,35990.0,10500.0,gray,4,48.0,24863.0,0.10913705583756345,0.20304568527918782
TOYO,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,2362,4,125.0,6000.0,224.0,4000.0,5,2950.0,1750.0,4795.0,1800.0,1725.0,8.0,2007,2009-05-23 00:00:00.000,44355.0,250.0,150.0,Special Fixed Price,Hobart (TAS),JAPAN,49490.0,31320.0,gray,2,24.0,22177.5,0.07246376811594203,0.12985507246376812
TOYO,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,2995,6,141.0,5200.0,279.0,4400.0,4,2720.0,1490.0,4805.0,1795.0,1485.0,5.0,2004,2009-01-05 00:00:00.000,93021.0,325.0,195.0,Auction,Adelaide (SA),AUSTRALIA,32490.0,8600.0,gray,5,50.0,22325.039999999997,0.09494949494949495,0.18787878787878787
HOLD,Wagon,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,147.0,5200.0,304.0,3600.0,5,2938.0,1545.0,5042.0,1847.0,1637.0,5.0,1997,2007-04-30 00:00:00.000,245876.0,500.0,300.0,Auction,Adelaide (SA),AUSTRALIA,32340.0,5600.0,green,10,112.0,26343.85714285714,0.08979841172877215,0.1857055589492975
FORD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3984,6,182.0,5000.0,380.0,3250.0,4,2829.0,1444.0,4916.0,1864.0,1648.0,5.0,2005,2008-08-31 00:00:00.000,60255.0,300.0,180.0,Fixed Price,Belmore (NSW),AUSTRALIA,35555.0,11825.0,gray,3,36.0,20085.0,0.1104368932038835,0.23058252427184467
MAZD,Hatchback,Passenger,Petrol - Unleaded ULP,Piston,4.0,2497,6,121.0,5600.0,213.0,5000.0,5,2610.0,1390.0,4685.0,1750.0,1330.0,5.0,1993,2001-10-08 00:00:00.000,144758.0,600.0,360.0,Auction,Geebung (QLD),JAPAN,42760.0,7200.0,red,8,96.0,18094.75,0.09097744360902256,0.16015037593984963
HOLD,Sedan,Passenger,Petrol - Unleaded ULP,Piston,4.0,3791,6,130.0,4800.0,295.0,3200.0,4,2731.0,1448.0,4861.0,1794.0,1356.0,5.0,1994,2002-01-30 00:00:00.000,132669.0,575.0,345.0,Auction,Belmore (NSW),AUSTRALIA,34520.0,8500.0,green,8,88.0,18091.227272727272,0.09587020648967552,0.21755162241887904
